term,frequency
success,142
complete,142
door,142
national anthem,142
tour,142
conservative,141
probably,141
station,141
coalition,141
missile,141
answer,141
especially,141
search,141
street,141
majority,140
parent,140
hamilton,140
tell cnn,140
drop,140
floor,139
building,139
promise,139
voice,139
bid,139
francisco,138
pm,138
estimate,138
platform,138
islamic,137
sure,137
uk,137
strategy,137
story verify,137
justice,136
indian,136
radio,136
hospital,136
crowd,135
certain,135
growth,135
property,135
original,135
available,135
television,135
wait,134
finance,134
dollar,134
suspend,134
kid,134
penny,133
trump say,133
harassment,133
referendum,133
soccer,133
feature,133
prosecutor,133
rugby,132
phone,132
attention,132
nbc,132
tokyo,132
king,132
getty,132
discuss,131
supply,131
defend,131
gunman,131
steel,131
road,130
powerful,130
petty,130
brazilian,130
performance,130
influence,130
disney,130
investment,129
grand,129
actually,129
dead,129
argue,129
slam,129
production,129
choose,129
tom,129
judge,129
document,129
copyright getty,129
perform,128
unite,128
contract,128
content,128
proposal,128
fourth,127
value,127
effect,127
bear,126
activity,126
culture,126
kaepernick,126
middle,126
currently,126
website,126
ship,126
conduct,126
particularly,126
block,125
getty image,125
tell reuters,125
president trump,125
pull,125
association,125
hurt,125
highlight,125
soon,125
paris,124
poll,124
debate,124
contact,124
aim,124
improve,124
vehicle,124
hong,124
san francisco,124
direct,124
track,123
asia,123
wear,123
boy,123
conflict,123
april,123
relation,123
accept,123
conversation,122
investigator,122
xi,122
credit,122
audience,122
seat,122
western,122
deep,121
say mr,121
refer,121
enter,121
assault,121
progress,121
popular,121
option,120
personal,120
practice,120
check,120
loan,120
army,120
stephen,120
user,120
joint,120
threaten,119
kong,119
image image,119
treatment,119
date,119
previously,119
amazon,119
relate,119
license,119
politics,118
citizen,118
attorney,118
catch,118
refuse,118
hong kong,117
manage,117
rest,117
iraq,117
dispute,117
jones,117
rival,117
scene,117
reporting,116
medical,116
arrive,116
competition,116
madrid,116
gain,116
difference,116
southern,116
january,116
prevent,115
simply,115
worry,115
appearance,115
scotland,115
injury,115
present,114
islamic state,114
bob,114
illegal,114
vice,114
institution,114
status,114
actor,114
quickly,114
maria,114
sit,114
rally,113
camp,113
page,113
average,113
destroy,113
tech,113
ensure,113
investigate,113
version,113
disease,112
slideshow,112
miller,112
huge,112
leadership,112
slideshow image,112
legislation,112
governor,112
dozen,112
commercial,112
la vegas,112
jr,112
foot,112
refugee,112
daily,112
listen,111
regional,111
exist,111
paper,111
discussion,111
significant,111
suspect,111
mind,111
premier,111
spokeswoman,111
gas,111
professional,110
told,110
giant,110
pitch,110
college,110
representative,110
critic,110
grant,109
village,109
rock,109
throw,109
eminem,109
population,109
class,108
territory,108
album,108
site,108
fell,108
previous,108
longer,108
mr corker,107
